"Date","Chrome for Android","Safari iPhone","Chrome 56.0","IE 11.0","Chrome 58.0","Safari iPad","Chrome 61.0","Chrome 60.0","Chrome 55.0","Chrome 63.0","Chrome 59.0","Android 0","Chrome 57.0","Chrome 62.0","Chrome 49.0","UC Browser 11.3","UC Browser 11.2","Opera 0","UC Browser 11.4","Edge 14","Firefox 52.0","Samsung Internet 4.0","UC Browser 10.9","UC Browser 10.7","Samsung Internet 5.4","Safari 10.1","Firefox 51.0","Firefox 54.0","UC Browser 11.0","Firefox 57.0","Firefox 53.0","Edge 15","Safari 10.0","Chrome for iPhone","UC Browser 11.1","Firefox 56.0","Firefox 50.0","Firefox 55.0","Safari 11.0","Samsung Internet 3.3","Samsung Internet 3.5","UC Browser 11.5","UC Browser 8.7","Safari 9.1","IE 8.0","UC Browser 10.10","Samsung Internet 6.2","IEMobile 11.0","Chrome iPad","Firefox 48.0","Chrome 45.0","UC Browser 10.8","Chrome 54.0","IE 10.0","IE 9.0","Chrome 51.0","Edge 16","Chrome 43.0","Opera Mini 28.0","Opera 43.0","Opera Mini 4.4","Opera 37.0","BlackBerry 0","Firefox 47.0","Samsung Internet 5.0","Samsung Internet 2.0","Samsung Internet 2.1","Firefox 45.0","UC Browser 7.0","Chrome 53.0","Edge 13","Chrome 50.0","Opera 49.0","Chrome 47.0","Opera Mini 32.0","Opera Mini 4.5","Opera Mini 7.5","Samsung Internet 4.2","Opera 48.0","UC Browser 10.6","Opera Mini 29.0","Firefox 49.0","Opera 12.1","Opera 46.0","Opera Mini 30.0","Sony PS4 0","Opera 47.0","UC Browser 10.1","Opera Mini 8.0","Opera Mini 31.0","Opera 45.0","Opera Mini 26.0","Chrome 52.0","Safari 9.0","Safari 5.1","Chrome 36.0","Nokia 0","Safari 8.0","Chrome 48.0","Samsung Internet 1.1","Sogou Explorer 0","UC Browser 4.2","Chrome 31.0","UC Browser 10.5","UC Browser 10.4","Opera 42.0","Firefox 43.0","Opera Mini 7.6","UC Browser 2.0","Opera Mini 27.0","Samsung Internet 5.2","UC Browser 11.7","Safari iPod Touch","UC Browser 9.2","UC Browser 6.1","Chrome 64.0","Firefox 38.0","Yandex Browser 17.3","Opera Mini 24.0","UC Browser 9.5","IEMobile 10.0","Firefox 58.0","Tizen 0","360 Safe Browser 0","Chrome 29.0","Opera 44.0","Chrome 46.0","UC Browser 9.9","Edge 12","Unknown 0","Opera Mini 20.0","Chrome 38.0","Opera 42.7","Opera 36.0","UC Browser 11.8","Chrome 34.0","Opera Mini 4.2","Chrome 44.0","Chrome 41.0","Opera 50.0","Opera Mini 25.0","Chrome 22.0","Firefox 46.0","Chrome 35.0","Chrome 42.0","Chrome 39.0","Yandex Browser 17.1","Yandex Browser 17.4","Opera Mini 7.1","Firefox 44.0","Chrome 40.0","UC Browser 9.7","Yandex Browser 17.7","UC Browser 11.6","UC Browser 12.0","QQ Browser 9.6","Yandex Browser 17.9","Yandex Browser 17.6","Opera Mini 21.0","Puffin 5.2","Coc Coc 66.4","Chrome 37.0","Chrome 33.0","Safari 5.0","Samsung Internet 1.0","Opera Mini 15.0","Firefox 40.0","Firefox 41.0","Chrome 24.0","Safari 6.1","Safari 6.2","Chromium 25.0","UC Browser 9.8","Yandex Browser 17.11","UC Browser 9.6","Phantom 0","UC Browser 10.2","Chrome 57.1","Chrome 11.0","Chrome 32.0","Chrome 30.0","IE 6.0","Opera Mini 22.0","Yandex Browser 16.11","Yandex Browser 17.10","Opera Mini 18.0","Firefox 31.0","Firefox 42.0","IE 7.0","Coc Coc 61.4","Firefox 25.0","UC Browser 9.4","Maxthon 4.4","Coc Coc 64.4","Opera Mini 12.0","UC Browser 5.6","Opera Mini 0","Opera 12.5","Safari 7.0","Firefox 39.0","Firefox 3.0","Chrome 26.0","Firefox 37.0","Opera Mini 11.0","Firefox 3.6","Coc Coc 63.4","Opera Mini 16.0","Coc Coc 60.4","Maxthon 4.9","IEMobile 0","Mozilla 0","QQ Browser 9.5","Firefox 36.0","Opera 28.0","Firefox 21.0","NetFront 4.2","Firefox 35.0","Coc Coc 56.3","Opera Mini 4.1","Chrome 27.0","QQ Browser 7.9","Chrome 56.1","Firefox 29.0","UC Browser 10.0","Maxthon 5.0","Firefox 34.0","Firefox 18.0","Firefox 33.0","UC Browser 8.1","Firefox 40.1","Chrome 28.0","Opera Mini 10.0","Chrome 18.0","Samsung Internet 3.2","Puffin 4.8","Firefox 23.0","QQ Browser 6.2","Firefox 15.0","Puffin 6.1","Chrome 25.0","MeeGo 0","Chrome 19.0","Other"
2017-01,23.23,8.96,0.35,3.79,0.01,3.13,0,0,22.04,0,0,3,0.06,0,1.44,0.03,0.48,2.89,0.03,1.46,0.03,1.75,0.19,1.62,0,0,0.6,0,1.01,0,0,0.01,1.46,0.53,2.71,0,4.29,0,0,0.55,0.41,0,0.47,0.47,0.41,0.4,0,0.33,0.23,0.24,0.3,0.29,0.6,0.26,0.26,0.44,0,0.24,0,0,0,0.09,0.17,0.26,0.12,0.13,0.17,0.17,0,0.28,0.19,0.18,0,0.17,0,0,0,0.05,0,0.12,0,0.19,0.13,0,0,0.07,0,0.1,0,0,0,0,0.2,0.11,0.06,0.17,0.08,0.1,0.11,0.05,0.06,0.07,0.09,0.1,0.09,0.43,0.1,0,0,0,0,0,0.06,0.06,0,0,0.06,0,0,0.07,0.06,0,0.05,0.06,0.02,0,0.07,0.07,0.05,0.06,0,0.04,0,0.04,0,0.04,0,0.06,0.05,0,0,0.04,0.09,0.08,0.05,0.05,0.02,0,0,0.06,0.04,0.03,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.04,0.03,0,0.03,0.03,0.05,0.04,0.04,0.03,0.02,0,0.01,0.02,0.03,0,0.03,0.05,0.03,0.02,0,0.2,0,0,0.03,0.03,0.02,0,0.04,0.02,0.03,0,0,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0,0.02,0,0,0.03,0.02,0.02,0.02,0.04,0.02,0.01,0.03,0.02,0.02,0.03,0,0.02,0,0,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.05,0.02,0,0.02,0,0.01,0.01,0.02,1.45
2017-02,23.44,8.85,17.31,3.48,0.06,3.07,0,0,6.15,0,0,2.82,0.08,0,1.38,0.01,2.57,2.77,0.07,1.55,0.16,1.71,0.17,1.66,0,0.01,4.59,0,0.76,0,0.01,0.01,1.54,0.52,1.2,0,0.36,0,0,0.51,0.4,0,0.48,0.43,0.37,0.4,0,0.33,0.23,0.22,0.33,0.28,0.32,0.23,0.24,0.34,0,0.23,0,0.29,0,0.09,0.18,0.21,0.16,0.12,0.15,0.17,0,0.24,0.16,0.16,0,0.15,0,0,0,0.07,0,0.1,0,0.15,0.11,0,0,0.08,0,0.09,0,0,0,0,0.16,0.1,0.05,0.13,0.07,0.09,0.09,0.07,0.07,0.07,0.09,0.09,0.09,0.18,0.08,0,0,0,0,0,0.06,0.05,0.01,0,0.06,0,0,0.06,0.06,0,0.05,0.05,0.02,0,0.06,0.06,0.05,0.04,0,0.04,0,0.03,0,0.04,0,0.05,0.04,0,0,0.04,0.06,0.07,0.04,0.04,0.22,0,0,0.04,0.03,0.03,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.04,0.03,0,0.03,0.03,0.05,0.04,0.03,0.03,0.02,0,0.01,0.02,0.03,0,0.03,0.04,0.03,0.02,0,0.01,0,0,0.03,0.03,0.02,0,0.04,0.02,0.03,0,0,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0,0.02,0,0,0.08,0.02,0.02,0.02,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0,0.01,0,0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.06,0.02,0,0.02,0,0.01,0.01,0.02,1.28
2017-03,24.38,9.08,21.67,3.36,0.08,2.97,0,0,0.62,0,0.03,2.73,1.37,0,1.29,0,3.25,2.54,0.08,1.51,2.8,1.62,0.5,1.63,0,0.05,2.21,0,0.56,0,0.1,0.01,1.51,0.53,0.58,0,0.16,0,0,0.46,0.39,0,0.45,0.38,0.35,0.39,0,0.3,0.22,0.18,0.31,0.31,0.2,0.21,0.22,0.24,0,0.21,0,0.55,0,0.1,0.15,0.16,0.24,0.12,0.14,0.18,0,0.15,0.13,0.12,0,0.11,0,0,0,0.09,0,0.12,0,0.11,0.1,0,0,0.08,0,0.11,0,0,0,0,0.11,0.1,0.05,0.07,0.07,0.09,0.08,0.07,0.07,0.07,0.09,0.09,0.09,0.02,0.07,0,0,0,0.01,0,0.05,0.06,0.06,0,0.05,0.15,0,0.06,0.06,0,0.05,0.04,0.02,0.05,0.06,0.06,0.05,0.05,0,0.04,0,0.03,0,0.04,0,0.04,0.04,0,0,0.03,0.03,0.05,0.04,0.04,0.09,0,0,0.03,0.03,0.04,0,0,0,0,0,0,0,0.02,0,0.02,0.03,0.04,0.03,0,0.03,0.03,0.06,0.03,0.03,0.02,0.03,0,0.03,0.02,0.03,0,0.02,0.03,0.03,0.02,0,0,0,0,0.03,0.03,0.02,0.07,0.04,0.03,0.02,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.01,0,0,0.04,0.02,0.02,0.02,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0,0.01,0,0.05,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0,0.01,0.02,0.01,0.02,0,0.02,0,0.01,0.01,0.02,1.11
2017-04,25.67,9.46,3.93,3.14,1.63,2.88,0,0.01,0.36,0,0.06,2.65,17.69,0,1.22,0.42,3,2.34,0.04,1.46,3.68,1.58,1.08,1.03,0,0.86,0.25,0.04,0.43,0,0.96,0.08,0.74,0.57,0.37,0,0.13,0,0,0.45,0.42,0.05,0.42,0.32,0.33,0.35,0,0.28,0.23,0.17,0.29,0.25,0.17,0.19,0.19,0.17,0,0.2,0,0.39,0,0.11,0.14,0.13,0.36,0.12,0.13,0.17,0,0.11,0.12,0.14,0,0.09,0,0,0,0.13,0,0.11,0,0.11,0.09,0,0,0.09,0,0.11,0,0,0,0,0.07,0.08,0.05,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.02,0.06,0,0.01,0,0.05,0,0.05,0.07,0.08,0,0.05,0.24,0,0.06,0.05,0,0.05,0.04,0.01,0.26,0.05,0.06,0.05,0.05,0,0.04,0.06,0.03,0,0.04,0,0.04,0.03,0,0,0.04,0.03,0.03,0.04,0.03,0.01,0.01,0,0.03,0.03,0.03,0,0,0,0.02,0,0,0,0.03,0,0.02,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0.03,0.02,0.03,0.05,0.02,0.01,0.02,0.02,0,0,0,0,0.02,0.02,0.03,0.11,0.02,0.02,0.02,0,0,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.01,0,0,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0,0.01,0,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.97
2017-05,25.96,9.11,0.54,3.25,17.06,2.82,0,0.06,0.32,0,0.08,2.54,5.83,0,1.15,2.4,1.32,2.22,0.01,1.36,0.63,1.34,1.2,0.78,0.26,1.22,0.17,0.14,0.35,0,3.91,0.22,0.44,0.57,0.28,0,0.11,0,0,0.43,0.42,0.09,0.43,0.3,0.34,0.35,0,0.27,0.23,0.17,0.3,0.24,0.17,0.19,0.2,0.2,0,0.21,0,0.2,0.01,0.12,0.14,0.12,0.34,0.12,0.13,0.18,0,0.09,0.11,0.11,0,0.09,0,0.01,0.01,0.15,0,0.1,0,0.11,0.09,0.01,0,0.08,0,0.09,0.01,0,0.27,0,0.07,0.08,0.04,0.08,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.02,0.05,0,0.01,0,0.1,0,0.05,0.09,0.1,0,0.05,0.16,0.01,0.05,0.06,0,0.05,0.05,0.02,0.2,0.05,0.05,0.04,0.04,0,0.04,0.08,0.03,0,0.04,0,0.05,0.04,0,0.01,0.03,0.03,0.04,0.04,0.03,0.01,0.09,0,0.03,0.03,0.03,0,0,0,0.04,0,0,0,0.03,0,0.02,0.03,0.03,0.03,0,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0,0.03,0.02,0.02,0.06,0.02,0.01,0.02,0.02,0,0,0,0,0.02,0.02,0.02,0.04,0.03,0.02,0.02,0,0,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.01,0.09,0,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0,0.01,0,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0.99
2017-06,26.6,9.34,0.39,3.23,18.94,2.82,0.04,0.07,0.29,0,3.23,2.45,0.42,0,1.08,3.2,0.82,0,0.01,1.12,0.53,0.58,1.35,0.68,1.58,1.31,0.14,1.41,0.3,0,2.67,0.47,0.31,0.6,0.22,0,0.08,0.04,0,0.38,0.39,0.09,0.43,0.27,0.31,0.35,0,0.27,0.23,0.16,0.32,0.23,0.16,0.18,0.18,0.16,0,0.18,0,0.02,0.22,0.14,0.13,0.1,0.06,0.12,0.12,0.11,0,0.08,0.11,0.11,0,0.09,0,0.2,0.19,0.1,0,0.1,0,0.1,0.09,0.02,0,0.08,0,0.09,0.16,0,0.67,0.43,0.05,0.07,0.04,0.06,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.01,0.05,0.11,0,0.04,0.05,0,0.06,0.06,0.1,0,0.05,0.03,0.2,0.05,0.05,0,0.05,0.06,0.02,0.01,0.04,0.04,0.04,0.04,0.07,0.04,0.08,0.03,0,0.03,0.07,0.03,0.03,0,0.18,0.03,0.02,0.02,0.03,0.03,0,0.16,0.06,0.02,0.03,0.03,0,0,0,0.04,0,0.06,0.08,0.03,0,0.02,0.03,0.02,0.02,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0,0.02,0.02,0.02,0.04,0.02,0.01,0.01,0.02,0.07,0,0,0.04,0.02,0.02,0.02,0,0.01,0.02,0.02,0.03,0.04,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.04,0.01,0.1,0.03,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0,0.01,0,0.01,0.02,0.01,0.01,0.01,1.09
2017-07,27.52,9.21,0.3,2.99,1.09,2.81,0.05,0.3,0.29,0,20.64,2.47,0.21,0,1.11,3.41,0.56,0,0.07,0.87,0.52,0.46,1.52,0.62,1.8,1.31,0.11,3.76,0.27,0,0.18,0.72,0.22,0.62,0.17,0,0.07,0.17,0.01,0.34,0.38,0.09,0.43,0.25,0.32,0.33,0,0.26,0.24,0.15,0.29,0.21,0.15,0.19,0.19,0.15,0.01,0.16,0.24,0.01,0.22,0.14,0.12,0.09,0.04,0.12,0.11,0.07,0,0.07,0.1,0.11,0,0.1,0,0.19,0.19,0.09,0.01,0.1,0,0.08,0.08,0.66,0,0.09,0,0.1,0.16,0,0.05,0.24,0.04,0.06,0.06,0.09,0.06,0.06,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.01,0.05,0.11,0,0.38,0.06,0,0.06,0.06,0.09,0,0.04,0.01,0.13,0.05,0.05,0,0.05,0.08,0.03,0,0.04,0.04,0.04,0.04,0.07,0.04,0.08,0.03,0,0.03,0.07,0.02,0.02,0,0.08,0.03,0.02,0.02,0.02,0.04,0,0.05,0.06,0.02,0.02,0.03,0.02,0,0,0.05,0,0.19,0.06,0.03,0,0.02,0.02,0.02,0.03,0.05,0.03,0.02,0.01,0.02,0.02,0.03,0.03,0,0.03,0.02,0.02,0.03,0.02,0.02,0.01,0.04,0.05,0,0,0.04,0.02,0.02,0.02,0,0.01,0.02,0.02,0.11,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.03,0,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,0,0.01,0.02,0.01,0.01,0,1.05
2017-08,27.18,9.74,0.26,3.04,0.45,2.73,0.07,16.68,0.32,0,5.89,2.23,0.18,0.04,1.12,2.47,0.37,0,0.84,0.61,0.49,0.36,1.32,0.45,1.96,1.48,0.11,2.94,0.22,0,0.1,1.05,0.21,0.65,0.12,0.06,0.07,1.19,0.01,0.3,0.34,0.04,0.38,0.28,0.29,0.28,0,0.24,0.25,0.15,0.24,0.16,0.13,0.16,0.15,0.14,0.01,0.14,0.79,0.01,0.22,0.14,0.11,0.08,0.03,0.11,0.1,0.07,0,0.07,0.09,0.1,0,0.09,0,0.17,0.17,0.08,0.01,0.08,0.05,0.08,0.08,0.4,0,0.09,0.36,0.07,0.15,0,0.01,0.11,0.05,0.08,0.1,0.07,0.05,0.08,0.05,0.07,0.07,0.06,0.06,0.06,0.05,0.01,0.05,0.1,0,0.11,0.07,0,0.06,0.04,0.12,0,0.06,0,0.08,0.04,0.05,0,0.04,0.05,0.07,0,0.04,0.04,0.04,0.03,0.07,0.04,0.07,0.04,0,0.04,0.06,0.02,0.03,0,0.04,0.03,0.02,0.01,0.02,0.02,0,0.02,0.05,0.02,0.02,0.02,0.17,0.05,0,0.05,0,0.06,0.05,0.03,0.04,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.04,0,0,0.04,0.02,0.02,0.02,0,0.01,0.02,0.02,0.08,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0,0.03,0,0.02,0.01,0.02,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,0,0,0.02,0.01,0.01,0.01,1.02
2017-09,27.56,9.19,0.23,2.97,0.34,2.62,4.57,18.33,0.36,0.03,0.49,2.04,0.16,0.06,1.06,1.02,0.27,0,2.11,0.48,0.5,0.32,1.47,0.45,1.95,1.29,0.11,0.24,0.23,0.01,0.07,1.56,0.21,0.63,0.1,0.16,0.07,3.9,0.3,0.28,0.34,0.02,0.32,0.25,0.25,0.25,0,0.23,0.24,0.18,0.14,0.13,0.14,0.16,0.14,0.12,0.01,0.12,0.43,0.01,0.22,0.15,0.11,0.08,0.03,0.11,0.09,0.07,0.13,0.06,0.08,0.09,0,0.09,0,0.16,0.17,0.09,0.02,0.09,0.6,0.08,0.08,0.02,0.05,0.09,0.7,0.08,0.14,0,0.01,0.08,0.05,0.06,0.1,0.04,0.06,0.05,0.05,0.07,0.07,0.05,0.06,0.05,0.05,0.01,0.05,0.1,0,0.06,0.08,0.03,0.05,0.04,0.06,0,0.05,0,0.07,0.04,0.04,0,0.04,0.04,0.09,0,0.04,0.03,0.04,0.03,0.07,0.04,0.05,0.05,0,0.03,0.06,0.02,0.03,0,0.03,0.03,0.02,0.01,0.02,0.03,0,0.01,0.05,0.02,0.03,0.03,0.15,0.09,0,0.04,0.05,0.03,0.04,0.03,0.08,0.03,0.02,0.02,0.02,0.04,0.02,0.02,0,0.02,0.02,0.02,0.02,0,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0,0,0.03,0.01,0.02,0.02,0,0.01,0.02,0.02,0.01,0.03,0,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0,0.03,0,0.01,0.01,0.01,0,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,0.01,0,0.02,0.01,0.01,0,0.97
2017-10,25.58,9.28,0.2,3.15,0.3,2.63,22.35,1.17,0.4,0.05,0.3,1.9,0.16,0.9,0.99,0.64,0.22,0,2.99,0.41,0.51,0.29,0.84,0.38,1.99,0.64,0.08,0.09,0.77,0.12,0.06,1.66,0.22,0.6,0.08,3.57,0.07,0.73,1.21,0.26,0.33,0.03,0.29,0.26,0.26,0.22,0.01,0.21,0.23,0.17,0.06,0.12,0.12,0.14,0.15,0.13,0.05,0.1,0.17,0.06,0.23,0.15,0.1,0.08,0.02,0.11,0.08,0.07,0.3,0.06,0.07,0.08,0,0.09,0,0.16,0.17,0.09,0.71,0.08,0.28,0.05,0.07,0.01,0.53,0.11,0.07,0.07,0.14,0.03,0.01,0.05,0.04,0.05,0.1,0.02,0.07,0.05,0.05,0.06,0.06,0.06,0.04,0.04,0.04,0.01,0.05,0.1,0.01,0.04,0.09,0.24,0.05,0.04,0.04,0.01,0.05,0,0.05,0.04,0.04,0,0.04,0.05,0.04,0,0.03,0.03,0.03,0.03,0.06,0.04,0.02,0.05,0,0.03,0.06,0.02,0.03,0,0.02,0.02,0.02,0.01,0.01,0.02,0,0.01,0.05,0.02,0.03,0.02,0.03,0.13,0,0.04,0.2,0.01,0.03,0.03,0.09,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0,0.02,0.02,0.02,0.02,0,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0,0,0.03,0.01,0.02,0.02,0,0,0.01,0.01,0,0.03,0,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0,0.03,0,0.01,0.01,0.02,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.07,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0,0,0.04,0,0.03,0.01,0.01,0,0.99
2017-11,25.22,9.32,0.19,3.25,0.28,2.62,10.32,0.48,0.38,0.08,0.29,1.77,0.17,14.51,0.96,0.5,0.19,0,3.37,0.35,0.49,0.22,0.51,0.31,0.57,0.56,0.07,0.08,1.2,1.84,0.06,1.37,0.18,0.6,0.07,2.39,0.04,0.15,1.43,0.24,0.29,0.03,0.12,0.27,0.27,0.21,1.19,0.19,0.23,0.28,0.04,0.12,0.08,0.16,0.16,0.07,0.24,0.09,0.11,0.08,0.21,0.15,0.08,0.07,0.02,0.1,0.07,0.06,0.32,0.04,0.07,0.06,0.29,0.1,0.02,0.15,0.16,0.09,0.49,0.07,0.15,0.03,0.07,0.01,0.27,0.1,0.01,0.07,0.13,0.54,0.01,0.04,0.04,0.05,0.12,0.04,0.08,0.05,0.04,0.06,0.06,0.06,0.04,0.04,0.04,0,0.04,0.08,0.13,0.03,0.07,0.3,0.05,0.04,0.02,0.05,0.05,0,0.04,0.03,0.03,0.06,0.04,0.03,0.07,0.01,0.03,0.03,0.03,0.04,0.06,0.04,0.01,0.04,0,0.03,0.05,0.02,0.02,0,0.01,0.02,0.02,0.01,0.01,0.02,0,0.01,0.04,0.02,0.03,0.02,0.01,0.05,0,0.04,0.11,0,0.03,0.03,0.09,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0,0.02,0.02,0.02,0.02,0,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0,0.12,0.03,0.01,0.01,0.02,0,0,0.01,0.01,0,0.03,0,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0,0.03,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.02,0.02,0.07,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0.04,0,0.03,0.01,0.01,0,0.96
2017-12,26.58,9.57,0.14,2.78,0.27,2.53,0.62,0.36,0.36,12.54,0.27,1.83,0.15,10.62,0.9,0.43,0.17,0,2.5,0.27,0.44,0.2,0.38,0.3,0.24,0.5,0.06,0.06,1.39,3.67,0.05,0.79,0.18,0.62,0.07,0.24,0.04,0.09,1.39,0.22,0.28,1.56,0,0.3,0.27,0.2,1.46,0.18,0.23,0.36,0.03,0.11,0.08,0.13,0.13,0.06,0.75,0.09,0.1,0.04,0.21,0.16,0.08,0.06,0.02,0.1,0.06,0.05,0.36,0.04,0.05,0.04,0.77,0.07,0.48,0.15,0.14,0.09,0.02,0.07,0.1,0.03,0.06,0.01,0.23,0.1,0.01,0.07,0.13,0.39,0.01,0.04,0.04,0.09,0.13,0.05,0.1,0.04,0.05,0.06,0.05,0.06,0.04,0.04,0.04,0,0.04,0.08,0.28,0.03,0.07,0.12,0.05,0.04,0.01,0.06,0.04,0,0.04,0.03,0.03,0.13,0.05,0.03,0.1,0.01,0.03,0.03,0.03,0.04,0.06,0.05,0.01,0.04,0.22,0.03,0.05,0.02,0.02,0,0.01,0.02,0.01,0.02,0.03,0.02,0,0.01,0.04,0.02,0.03,0.02,0,0.04,0,0.03,0.01,0,0.03,0.03,0.06,0.06,0.02,0.02,0.02,0.04,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.09,0.02,0.03,0.01,0.01,0.02,0.03,0.04,0.01,0.02,0,0.14,0.03,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.03,0,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0,0.03,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0.02,0.01,0,0.02,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.04,0,0,0.01,0.01,0.01,1.22
2018-01,27.08,9.34,0.13,2.73,0.22,2.48,0.4,0.25,0.35,23.41,0.2,1.79,0.14,0.63,0.95,0.33,0.16,0,1.05,0.19,0.42,0.18,0.26,0.23,0.17,0.42,0.07,0.05,1.19,3.33,0.04,0.44,0.16,0.61,0.14,0.16,0.04,0.06,1.49,0.21,0.26,2.82,0,0.24,0.2,0.17,1.51,0.17,0.21,0.4,0.03,0.1,0.08,0.13,0.12,0.06,1.17,0.08,0.08,0.02,0.2,0.15,0.07,0.06,0.02,0.1,0.06,0.04,0.35,0.04,0.05,0.03,0.36,0.05,0.87,0.14,0.13,0.09,0.01,0.06,0.07,0.03,0.08,0.01,0.13,0.07,0.01,0.06,0.12,0.15,0.01,0.03,0.04,0.06,0.09,0.01,0.09,0.04,0.06,0.06,0.05,0.06,0.03,0.03,0.04,0.01,0.04,0.08,0.3,0.03,0.07,0.03,0.04,0.03,0.01,0.58,0.04,0,0.03,0.03,0.03,0.46,0.04,0.03,0.11,0,0.03,0.02,0.03,0.04,0.05,0.03,0.01,0.04,0.26,0.03,0.04,0.02,0.02,0.42,0.01,0.02,0.01,0.01,0.03,0.02,0,0.01,0.04,0.03,0.03,0.02,0,0.02,0.37,0.02,0.01,0,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.22,0.02,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0,0.02,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0.03,0.01,0,0.01,0.01,0.01,1.44
